iter	Passed	Remaining
0	140	140382
1	150	74944
2	159	52920
3	168	41833
4	176	35220
5	185	30765
6	194	27529
7	203	25216
8	211	23289
9	221	21963
10	230	20748
11	239	19745
12	247	18815
13	256	18093
14	266	17474
15	275	16923
16	284	16473
17	292	15951
18	301	15592
19	310	15218
20	319	14881
21	327	14553
22	336	14290
23	345	14032
24	353	13779
25	361	13545
26	369	13333
27	378	13145
28	388	12992
29	399	12912
30	407	12737
31	418	12657
32	429	12594
33	438	12464
34	452	12479
35	463	12405
36	471	12278
37	482	12214
38	493	12148
39	501	12029
40	511	11963
41	521	11889
42	529	11794
43	541	11772
44	549	11671
45	559	11595
46	567	11501
47	578	11478
48	587	11402
49	596	11336
50	604	11250
51	613	11185
52	623	11148
53	631	11062
54	641	11025
55	652	11005
56	661	10945
57	670	10883
58	678	10820
59	687	10769
60	695	10710
61	704	10662
62	712	10593
63	721	10558
64	729	10490
65	739	10460
66	746	10401
67	759	10409
68	767	10362
69	777	10323
70	786	10297
71	796	10260
72	805	10222
73	815	10201
74	823	10158
75	833	10134
76	841	10088
77	855	10114
78	865	10089
79	873	10049
80	885	10051
81	898	10064
82	908	10041
83	919	10030
84	930	10020
85	941	10004
86	953	10008
87	971	10073
88	997	10209
89	1015	10267
90	1033	10327
91	1051	10382
92	1070	10440
93	1086	10468
94	1102	10502
95	1117	10526
96	1132	10538
97	1147	10566
98	1162	10582
99	1179	10615
100	1192	10612
101	1208	10642
102	1221	10634
103	1236	10654
104	1250	10661
105	1266	10679
106	1279	10680
107	1293	10683
108	1322	10813
109	1339	10840
110	1354	10847
111	1369	10857
112	1381	10847
113	1395	10843
114	1411	10862
115	1431	10905
116	1442	10889
117	1457	10894
118	1472	10901
119	1485	10893
120	1497	10877
121	1510	10872
122	1524	10868
123	1539	10876
124	1554	10881
125	1566	10866
126	1578	10848
127	1592	10850
128	1607	10851
129	1623	10863
130	1637	10860
131	1655	10884
132	1678	10941
133	1698	10975
134	1718	11013
135	1735	11022
136	1751	11032
137	1767	11041
138	1784	11053
139	1801	11065
140	1817	11071
141	1838	11106
142	1853	11109
143	1871	11122
144	1889	11139
145	1902	11126
146	1918	11133
147	1932	11122
148	1942	11094
149	1951	11057
150	1962	11031
151	1970	10995
152	1983	10978
153	1995	10960
154	2005	10934
155	2014	10898
156	2024	10869
157	2032	10831
158	2042	10802
159	2054	10786
160	2064	10756
161	2072	10721
162	2081	10686
163	2092	10668
164	2101	10634
165	2110	10602
166	2119	10572
167	2129	10546
168	2139	10520
169	2149	10495
170	2158	10465
171	2170	10450
172	2178	10416
173	2187	10385
174	2198	10364
175	2207	10336
176	2216	10307
177	2224	10274
178	2234	10248
179	2243	10218
180	2255	10205
181	2264	10178
182	2273	10148
183	2281	10117
184	2288	10081
185	2298	10057
186	2308	10034
187	2316	10006
188	2324	9975
189	2333	9949
190	2342	9922
191	2351	9894
192	2358	9863
193	2368	9842
194	2379	9823
195	2387	9792
196	2395	9764
197	2406	9747
198	2416	9728
199	2425	9701
200	2434	9679
201	2445	9660
202	2452	9627
203	2462	9609
204	2470	9582
205	2481	9564
206	2490	9542
